RNK,PLAYER, TEAM POS,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,PTS,  YDS,   TD
1,Jaguars D/STÊD/ST,FA,,0,44.4,13.9,9,16.6,1.7,1.3,122.3,0,0
2,Eagles D/STÊD/ST,FA,,0,38.9,13.7,8.9,15.1,1.6,1.3,114,0,0
3,Panthers D/STÊD/ST,FA,,0,42.3,15.3,9.9,13.1,1.4,1.4,112.9,0,0
4,Lions D/STÊD/ST,FA,,0,39.8,12.2,7.9,14.5,1.5,1.1,111.4,0,0
5,Rams D/STÊD/ST,FA,,0,39.5,13.6,8.8,13.8,1.4,1.2,107.9,0,0
6,Ravens D/STÊD/ST,FA,,0,36.6,13.7,8.9,14.4,1.6,1.2,107.8,0,0
7,Patriots D/STÊD/ST,FA,,0,43.3,9.1,5.9,14.4,1.5,0.8,107,0,0
8,Titans D/STÊD/ST,FA,,0,41.3,11.2,7.3,14.1,1.5,1,106.4,0,0
9,Vikings D/STÊD/ST,FA,,0,43.1,11.2,7.3,13,1.3,1,106.1,0,0
10,Redskins D/STÊD/ST,FA,,0,39.4,12.4,8.1,13.4,1.4,1.1,105.6,0,0
11,Texans D/STÊD/ST,FA,,0,44.5,12.6,8.2,11.1,1.1,1.3,105.5,0,0
12,Broncos D/STÊD/ST,FA,,0,39.9,12.3,8,12.6,1.3,1.2,103.6,0,0
13,Cardinals D/STÊD/ST,FA,,0,38.9,17.8,11.6,9.5,1,1.6,103.6,0,0
14,Dolphins D/STÊD/ST,FA,,0,36.6,12.6,8.2,12.8,1.4,1.2,101.9,0,0
15,Bills D/STÊD/ST,FA,,0,30.2,11.3,7.3,16.5,1.7,1,101.8,0,0
16,Chargers D/STÊD/ST,FA,,0,38.9,11.9,7.7,12.3,1.3,1.2,101.7,0,0
17,Packers D/STÊD/ST,FA,,0,45.9,9.9,6.4,11.8,1.2,0.9,101.7,0,0
18,Saints D/STÊD/ST,FA,,0,34.4,11.8,7.7,14.9,1.5,1,101.2,0,0
19,Buccaneers D/STÊD/ST,FA,,0,28.1,14.6,9.5,14.7,1.6,1.2,100.2,0,0
20,Cowboys D/STÊD/ST,FA,,0,34.2,14.4,9.4,12.1,1.2,1.3,100.1,0,0
21,Falcons D/STÊD/ST,FA,,0,34.4,14.6,9.5,11.3,1.2,1.3,99.1,0,0
22,Chiefs D/STÊD/ST,FA,,0,34.3,11.8,7.7,12,1.2,1,96.3,0,0
23,Raiders D/STÊD/ST,FA,,0,30.2,14.1,9.2,12,1.3,1.4,95.5,0,0
24,Browns D/STÊD/ST,FA,,0,33.5,12.2,7.9,12.4,1.3,1,94.7,0,0
25,Bengals D/STÊD/ST,FA,,0,36.3,8.9,5.8,13,1.4,0.8,93.6,0,0
26,Seahawks D/STÊD/ST,FA,,0,34,11.7,7.6,11.2,1.1,1.1,93.4,0,0
27,Steelers D/STÊD/ST,FA,,0,38.5,10.7,7,9.9,1,0.9,91.8,0,0
28,Bears D/STÊD/ST,FA,,0,37.5,10.1,6.6,9.4,1,0.9,89.6,0,0
29,Giants D/STÊD/ST,FA,,0,26.3,12.5,8.1,12.1,1.3,1.1,88.7,0,0
30,Colts D/STÊD/ST,FA,,0,30,10.8,7.1,11.7,1.2,1,88.3,0,0
31,Jets D/STÊD/ST,FA,,0,29.1,12.2,7.9,10.1,1,1.1,86.6,0,0
32,49ers D/STÊD/ST,FA,,0,26.4,11.1,7.2,11.9,1.2,0.9,84.7,0,0
