##,PLAYER,NFL,BYE,PTS,
1,Jaguars,Def,9,133,NA
2,Vikings,Def,12,131,NA
3,Eagles,Def,10,122,NA
4,Rams,Def,9,121,NA
5,Broncos,Def,8,120,NA
6,Ravens,Def,10,119,NA
7,Saints,Def,10,118,NA
8,Texans,Def,6,117.8,NA
9,Chargers,Def,10,117,NA
10,Panthers,Def,12,113,NA
11,Bears,Def,4,112,NA
12,Chiefs,Def,5,112,NA
13,Steelers,Def,7,111,NA
14,Patriots,Def,11,110,NA
15,Seahawks,Def,7,109,NA
16,Giants,Def,9,108,NA
17,Falcons,Def,8,105,NA
18,Cardinals,Def,9,103,NA
19,Bengals,Def,9,97,NA
20,Raiders,Def,7,94,NA
21,Bills,Def,11,94,NA
22,49ers,Def,11,93,NA
23,Browns,Def,11,92,NA
24,Packers,Def,7,92,NA
25,Buccaneers,Def,5,91,NA
26,Jets,Def,11,87,NA
27,Lions,Def,6,84,NA
28,Titans,Def,8,84,NA
29,Cowboys,Def,8,83,NA
30,Dolphins,Def,11,82,NA
31,Redskins,Def,4,82,NA
32,Colts,Def,9,77,
