Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Steven Hauschka,SEA,K,153.0,138.0,9.09375,145.5,4,1.375,2.25
Stephen Gostkowski,NE,K,141.0,149.0,9.0625,145.0,10,1.34375,2.21875
Justin Tucker,BAL,K,139.0,137.0,8.625,138.0,11,0.90625,1.78125
Phil Dawson,SF,K,140.0,135.0,8.59375,137.5,8,0.875,1.75
Nick Novak,SD,K,136.0,139.0,8.59375,137.5,10,0.875,1.75
Mason Crosby,GB,K,130.0,139.0,8.40625,134.5,9,0.6875,1.5625
Nick Folk,NYJ,K,138.0,130.0,8.375,134.0,11,0.65625,1.53125
Dan Bailey,DAL,K,134.0,128.0,8.1875,131.0,11,0.46875,1.34375
Shayne Graham,NO,K,129.0,131.0,8.125,130.0,6,0.40625,1.28125
Robbie Gould,CHI,K,132.0,126.0,8.0625,129.0,9,0.34375,1.21875
Blair Walsh,MIN,K,120.0,132.0,7.875,126.0,10,0.15625,1.03125
Adam Vinatieri,IND,K,118.0,134.0,7.875,126.0,10,0.15625,1.03125
Greg Zuerlein,STL,K,129.0,118.0,7.71875,123.5,4,0.0,0.875
Ryan Succop,KC,K,119.0,122.0,7.53125,120.5,6,-0.1875,0.6875
Nate Freese,DET,K,130.0,110.0,7.5,120.0,9,-0.21875,0.65625
Matt Bryant,ATL,K,113.0,126.0,7.46875,119.5,9,-0.25,0.625
Dan Carpenter,BUF,K,126.0,112.0,7.4375,119.0,9,-0.28125,0.59375
Alex Henery,PHI,K,108.0,128.0,7.375,118.0,7,-0.34375,0.53125
Kai Forbath,WAS,K,117.0,112.0,7.15625,114.5,10,-0.5625,0.3125
Shaun Suisham,PIT,K,110.0,119.0,7.15625,114.5,12,-0.5625,0.3125
Mike Nugent,CIN,K,117.0,111.0,7.125,114.0,4,-0.59375,0.28125
Caleb Sturgis,MIA,K,114.0,107.0,6.90625,110.5,5,-0.8125,0.0625
Josh Brown,NYG,K,114.0,107.0,6.90625,110.5,8,-0.8125,0.0625
Randy Bullock,HOU,K,113.0,106.0,6.84375,109.5,10,-0.875,0.0
Matt Prater,DEN,K,103.0,116.0,6.84375,109.5,4,-0.875,0.0
Graham Gano,CAR,K,112.0,106.0,6.8125,109.0,12,-0.90625,-0.03125
Sebastian Janikowski,OAK,K,101.0,105.0,6.4375,103.0,5,-1.28125,-0.40625
Josh Scobee,JAX,K,95.0,96.0,5.96875,95.5,11,-1.75,-0.875
Billy Cundiff,CLE,K,101.0,84.0,5.78125,92.5,4,-1.9375,-1.0625
Derek Dimke,NO,K,45.0,1.0,1.4375,23.0,6,-6.28125,-5.40625
