RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Cam Newton, Car QBBreaking News",BOB,,302.4/522.4,3763.3,27.8,13,125.9,683.8,5.6,0,0,0,389.4
2,"Aaron Rodgers, GB QBRecent News",SEXY,,353.8/562.1,4217.7,32.5,7.7,51.2,238.3,1.5,0,0,0,376.8
3,"Russell Wilson, Sea QB",JAJ,,297.5/473.4,3715,29.1,9.9,95.6,494.9,2.4,0,0,0,362
4,"Andrew Luck, Ind QBRecent News",NIEV,,350.7/605.5,4200.2,32.5,18.8,64.8,265,1.7,0,0,0,357.3
5,"Drew Brees, NO QBRecent News",COLE,,437.4/653.2,4750.5,31.2,15.4,21.8,35.3,0.9,0,0,0,352.7
6,"Kirk Cousins, Wsh QBBreaking News",COLE,,389.5/600.6,4550.8,29.7,13.4,38,117.5,1.3,0,0,0,343.7
7,"Ben Roethlisberger, Pit QBBreaking Video",ALES,,375.3/572.7,4558.7,28.3,13,27.8,66.7,0.6,0,0,0,338.7
8,"Eli Manning, NYG QBBreaking News",ALES,,381.4/608.4,4562.2,30.7,15.4,20.8,37.7,0.4,0,0,0,335
9,"Matthew Stafford, Det QBBreaking News",JTR,,400.9/615.4,4498.8,25.1,13.4,39.2,134.5,1.8,0,0,0,325.2
10,"Philip Rivers, SD QB",RMO,,404/615.2,4485.5,28,15.2,23,61.3,0.5,0,0,0,322.5
11,"Carson Palmer, Ari QB",HAM,,338.3/555.4,4236.2,28.8,16,25,49.3,0.9,0,0,0,315.6
12,"Andy Dalton, Cin QBBreaking News",Bro,,335.2/531.1,3916.5,25,13.5,62.3,230.7,2.7,0,0,0,315.3
13,"Derek Carr, Oak QB",JAJ,,353.6/591.4,3833.3,30.7,13.5,30.5,81.5,0.7,0,0,0,314.8
14,"Tony Romo, Dal QB  P",FA,,341.6/510,4034.7,27.9,12,26.1,56.4,0.6,0,0,0,311.3
15,"Blake Bortles, Jax QBBreaking News",BOO,,321.6/567.2,3806.9,27.6,16,50.8,262.7,1.3,0,0,0,310.4
16,"Tyrod Taylor, Buf QBBreaking News",RMO,,274.7/450.1,3232.4,21.3,12,112,577,4.4,0,0,0,309.5
17,"Ryan Fitzpatrick, NYJ QB",BOB,,329.5/542.2,3805.5,25.5,15.3,56.9,249.8,1.9,0,0,0,307.4
18,"Jameis Winston, TB QBBreaking News",JTR,,312.6/542.1,3755.3,24.9,15.2,59.3,259,2.5,0,0,0,306.8
19,"Brock Osweiler, Hou QB",FA,,334.8/544.8,3988,25,14.4,51,123.7,1.3,0,0,0,296
20,"Ryan Tannehill, Mia QBBreaking News",BOO,,366.3/593.6,4170.3,23.6,12.2,35.3,133.9,1,0,0,0,295.9
21,"Alex Smith, KC QBRecent News",FA,,319/491.1,3582.9,19.2,7.4,69.3,397.8,2.4,0,0,0,295.7
22,"Joe Flacco, Bal QB  P",FA,,368.4/613.3,4154.1,25.4,16.1,27.6,47.2,1.1,0,0,0,292.3
23,"Matt Ryan, Atl QBBreaking News",SENK,,407.2/615.3,4460.1,22,16.4,30.9,95.6,0.8,0,0,0,284.2
24,"Tom Brady, NE QB  SSPDBreaking Video",NIEV,,298/468.4,3300.8,25.3,6.9,27.9,22,1.5,0,0,0,279.4
25,"Jay Cutler, Chi QBBreaking News",FA,,319.6/498.6,3796.7,22.5,14.1,38.6,137.7,0.9,0,0,0,271.6
26,"Marcus Mariota, Ten QB",FA,,303.5/486.4,3540.3,19.2,13.5,69.5,351.4,2.7,0,0,0,269.7
27,"Teddy Bridgewater, Min QBBreaking News",FA,,308.7/476.6,3435.4,19.2,10.5,46.4,214.7,2.2,0,0,0,261.7
28,"Robert Griffin III, Cle QBBreaking News and Video",FA,,242.7/382.4,2887.9,15.3,9.6,59.6,356.6,1.6,0,0,0,222.5
29,"Sam Bradford, Phi QBBreaking News",FA,,280/446.7,3064.1,16.6,10.2,23.3,60.6,0.9,0,0,0,207.2
30,"Jared Goff, LA QB",FA,,286.6/485.7,3225.5,13.4,14.4,39.1,112.9,1.5,0,0,0,195.7
31,"Blaine Gabbert, SF QBBreaking News",FA,,247.1/409.1,2782.4,13.7,13,40.2,139.2,1,0,0,0,181.1
32,"Paxton Lynch, Den QBBreaking News",FA,,176.5/307.6,2062.1,10.8,9.7,25.7,104.4,0.9,0,0,0,140.6
33,"Mark Sanchez, Den QBBreaking News",FA,,123/208.9,1431.8,7.4,8.2,14.2,57.4,0.5,0,0,0,91.5
34,"Jimmy Garoppolo, NE QBBreaking News",FA,,92.4/149.4,1008.8,7.3,3.7,15.5,62.3,0.5,0,0,0,85.2
35,"Colin Kaepernick, SF QB  PBreaking News",FA,,81.6/141.6,935.3,4.8,3,24.8,138.9,0.6,0,0,0,75.4
36,"Carson Wentz, Phi QB  PBreaking News",FA,,60.9/103.9,695.2,4.6,2.5,14,56.4,0.6,0,0,0,58.5
37,"Josh McCown, Cle QB",FA,,58.9/101.3,682,3.8,2.7,8.6,36,0.3,0,0,0,47.1
38,"Landry Jones, Pit QBBreaking News",FA,,22.4/39.7,249.8,1.7,1.2,5.7,23.1,0.2,0,0,0,20.9
39,"Geno Smith, NYJ QB",FA,,21.4/36.9,244.1,1.7,1.3,6.7,26.5,0.2,0,0,0,20.3
40,"Chase Daniel, Phi QB",FA,,22.8/36.9,244.6,1.5,0.8,3.5,14.2,0.1,0,0,0,19.2
