Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Peyton Manning,DEN,QB,455.6,463.0,28.70625,459.3,4,8.353125000000002,15.053125000000001
Aaron Rodgers,GB,QB,448.5,425.6,27.315625,437.05,9,6.962500000000002,13.662500000000001
Drew Brees,NO,QB,428.5,407.6,26.128125,418.05,6,5.775000000000002,12.475000000000001
Nick Foles,PHI,QB,385.0,330.1,22.346875,357.55,7,1.9937500000000021,8.693750000000001
Matthew Stafford,DET,QB,363.4,349.2,22.26875,356.3,9,1.9156250000000021,8.615625000000001
Andrew Luck,IND,QB,381.6,329.3,22.215625,355.45,10,1.8625000000000007,8.5625
Robert Griffin III,WAS,QB,367.3,329.9,21.7875,348.6,10,1.4343750000000028,8.134375000000002
Russell Wilson,SEA,QB,363.6,320.3,21.371875,341.95,4,1.0187500000000007,7.71875
Jay Cutler,CHI,QB,379.0,301.7,21.271875,340.35,9,0.9187500000000028,7.618750000000002
Tom Brady,NE,QB,365.5,313.6,21.221875,339.55,10,0.8687500000000021,7.568750000000001
Tony Romo,DAL,QB,358.0,321.1,21.221875,339.55,11,0.8687500000000021,7.568750000000001
Matt Ryan,ATL,QB,359.1,317.7,21.15,338.4,9,0.796875,7.496874999999999
Colin Kaepernick,SF,QB,340.8,310.5,20.353125,325.65,8,0.0,6.699999999999999
Cam Newton,CAR,QB,336.2,314.1,20.321875,325.15,12,-0.03125,6.668749999999999
Philip Rivers,SD,QB,321.8,318.2,20.0,320.0,10,-0.3531249999999986,6.346875000000001
Ben Roethlisberger,PIT,QB,334.0,287.8,19.43125,310.9,12,-0.921875,5.778124999999999
Andy Dalton,CIN,QB,320.2,292.2,19.1375,306.2,4,-1.2156249999999993,5.484375
Carson Palmer,ARI,QB,311.3,267.9,18.1,289.6,4,-2.253124999999997,4.446875000000002
Eli Manning,NYG,QB,305.4,273.2,18.08125,289.3,8,-2.271874999999998,4.428125000000001
Ryan Tannehill,MIA,QB,304.0,267.8,17.86875,285.9,5,-2.484375,4.215624999999999
Joe Flacco,BAL,QB,299.6,256.3,17.371875,277.95,11,-2.9812499999999993,3.71875
Alex Smith,KC,QB,287.8,249.6,16.79375,268.7,6,-3.5593749999999993,3.140625
Josh McCown,TB,QB,280.5,255.3,16.74375,267.9,7,-3.609375,3.0906249999999993
Ryan Fitzpatrick,HOU,QB,252.0,188.6,13.76875,220.3,10,-6.584374999999998,0.11562500000000142
Shaun Hill,STL,QB,260.3,176.6,13.653125,218.45,4,-6.699999999999999,0.0
Jake Locker,TEN,QB,220.5,190.7,12.85,205.6,9,-7.503124999999999,-0.8031249999999996
Johnny Manziel,CLE,QB,189.6,193.7,11.978125,191.65,4,-8.374999999999998,-1.674999999999999
Teddy Bridgewater,MIN,QB,280.0,86.9,11.465625,183.45,10,-8.8875,-2.1875
Geno Smith,NYJ,QB,131.0,210.9,10.684375,170.95,11,-9.66875,-2.96875
Michael Vick,NYJ,QB,202.0,114.0,9.875,158.0,11,-10.478124999999999,-3.7781249999999993
Matt Schaub,OAK,QB,123.0,149.1,8.503125,136.05,5,-11.849999999999998,-5.149999999999999
Chad Henne,JAX,QB,117.2,145.3,8.203125,131.25,11,-12.149999999999999,-5.449999999999999
Derek Carr,OAK,QB,163.0,90.6,7.925,126.8,5,-12.428124999999998,-5.7281249999999995
Matt Cassel,MIN,QB,70.0,160.0,7.1875,115.0,10,-13.165624999999999,-6.465624999999999
Blake Bortles,JAX,QB,121.5,82.5,6.375,102.0,11,-13.978124999999999,-7.278124999999999
Brian Hoyer,CLE,QB,108.6,74.9,5.734375,91.75,4,-14.618749999999999,-7.918749999999999
Kirk Cousins,WAS,QB,18.9,46.3,2.0375,32.6,10,-18.315624999999997,-11.615625
Jimmy Clausen,CHI,QB,34.0,20.8,1.7125,27.4,9,-18.640625,-11.940624999999999
Mike Glennon,TB,QB,1.0,47.9,1.528125,24.45,7,-18.825,-12.125
Terrelle Pryor,SEA,QB,25.0,21.0,1.4375,23.0,4,-18.915625,-12.215625
Bruce Gradkowski,PIT,QB,6.3,33.1,1.23125,19.7,12,-19.121875,-12.421875
Charlie Whitehurst,TEN,QB,8.0,21.0,0.90625,14.5,9,-19.446875,-12.746875
Mark Sanchez,PHI,QB,2.9,10.7,0.425,6.8,7,-19.928124999999998,-13.228124999999999
Blaine Gabbert,SF,QB,10.0,0.4,0.325,5.2,8,-20.028125,-13.328125
Ryan Mallett,NE,QB,9.4,0.3,0.303125,4.85,10,-20.049999999999997,-13.35
Brock Osweiler,DEN,QB,0.8,4.9,0.178125,2.85,4,-20.174999999999997,-13.475
Matt Moore,MIA,QB,3.1,1.9,0.15625,2.5,5,-20.196875,-13.496875
