RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
1,"Le'Veon Bell, Pit RB",SENK,,0/0,0,0,0,306.9,1319.4,10,79.4,637.7,3,273,228.2
2,"Todd Gurley II, LAR RB",SENK,,0/0,0,0,0,283.6,1274.4,10.5,67.2,584.3,2.6,262.2,218.9
3,"Ezekiel Elliott, Dal RB",COLE,,0/0,0,0,0,323.9,1403.6,11.3,47.2,393.8,1.4,255,217.6
4,"David Johnson, Ari RBRecent News",ALES,,0/0,0,0,0,266,1087.2,8.4,76.5,728.5,2.9,248.9,208.1
5,"Saquon Barkley, NYG RB  QBreaking News",FA,,0/0,0,0,0,250.2,1098.8,7.3,59.9,531.1,2.7,221.7,206.8
6,"Leonard Fournette, Jax RB",ASH,,0/0,0,0,0,309.9,1202.2,10.1,39.6,326.6,1,218.7,204.5
7,"Alvin Kamara, NO RB",JAJ,,0/0,0,0,0,186,842.6,7.8,74,701.4,2.8,217.4,199.1
8,"Dalvin Cook, Min RBBreaking News",BOO,,0/0,0,0,0,261.2,1107.7,6.7,53.9,500.4,2,211.6,197.7
9,"Melvin Gordon, LAC RB",DrPC,,0/0,0,0,0,263.5,1024.1,6.4,60,497.4,2.3,203.5,197.1
10,"Kareem Hunt, KC RBBreaking News",ASH,,0/0,0,0,0,236.2,998.7,8,55.2,445,1.9,203,196.1
11,"LeSean McCoy, Buf RBRecent News",ALES,,0/0,0,0,0,243.8,1098,6,56.9,436.6,1.5,197.5,188.5
12,"Devonta Freeman, Atl RBRecent News",JAJ,,0/0,0,0,0,223.2,938.9,8.6,42.1,360.8,1.9,192.3,173.6
13,"Christian McCaffrey, Car RB",COLE,,0/0,0,0,0,163,652.2,4.2,78.8,685.2,3.1,177.4,170.7
14,"Jerick McKinnon, SF RB  QBreaking News",COLE,,0/0,0,0,0,217,876.1,6.6,54.1,407.2,1.3,175.4,166.7
15,"Jordan Howard, Chi RB  Q",WORK,,0/0,0,0,0,239.2,1022.9,7,29.1,233.2,0.9,172.3,165.7
16,"Royce Freeman, Den RB",FA,,0/0,0,0,0,235.3,994.1,6.2,35.3,283.1,0.8,168,161.1
17,"Joe Mixon, Cin RBBreaking News",HAM,,0/0,0,0,0,226.9,891.9,5.9,42.4,341.5,1.1,164.8,161
18,"Derrick Henry, Ten RB",EMDW,,0/0,0,0,0,222.7,939.1,7.2,23.7,203.9,0.8,161.7,158
19,"Alex Collins, Bal RB",JAJ,,0/0,0,0,0,239.2,1022.2,5.7,25.8,201.8,0.6,159.2,156.6
