##,PLAYER,NFL,Team,BYE,INJ.,AGE,ADP,AAV,PTS,
1,David Johnson,RB,,8,,26,1.11,$20 ,409.7,NA
2,Le'Veon Bell,RB,,9,Que,25,2.04,$24 ,408.9,NA
3,Ezekiel Elliott,RB,,6,,22,3.7,$19 ,380.5,NA
4,LeSean McCoy,RB,,6,,29,9.29,$12 ,282.2,NA
5,Melvin Gordon,RB,,9,Que,24,9.44,$17 ,281.5,NA
6,Devonta Freeman,RB,,5,,25,11.21,$15 ,278.9,NA
7,Jay Ajayi,RB,,11,,24,13.9,$13 ,268.6,NA
8,Jordan Howard,RB,,9,,23,15.69,$15 ,268,NA
9,DeMarco Murray,RB,,8,Que,29,17.47,$9 ,249.9,NA
10,Todd Gurley,RB,,8,,23,21.93,$16 ,241,NA
11,Leonard Fournette,RB,,8,,22,22.6,$14 ,239.6,NA
12,Isaiah Crowell,RB,,9,,24,32.56,$6 ,236.4,NA
13,Lamar Miller,RB,,7,,26,28.8,$9 ,227,NA
14,Christian McCaffrey,RB,,11,,21,39.71,$12 ,226.7,NA
15,Marshawn Lynch,RB,,10,,31,38.05,$6 ,207,NA
16,Ty Montgomery,RB,,8,Que,24,45.82,$5 ,206.5,NA
17,Joe Mixon,RB,,6,,21,33.77,$12 ,203.6,NA
18,Mark Ingram,RB,,5,,28,64.24,$6 ,200,NA
19,Carlos Hyde,RB,,11,Que,26,48.45,$8 ,199.2,NA
20,Tevin Coleman,RB,,5,,24,61.78,$6 ,198.2,NA
21,Bilal Powell,RB,,11,,29,70.67,$3 ,197.1,NA
22,Spencer Ware,RB,,10,Que,26,63.67,$6 ,197,NA
23,Ameer Abdullah,RB,,7,,24,60.19,$5 ,193,NA
24,Dalvin Cook,RB,,9,,22,52.29,$11 ,189.5,NA
25,C.J. Anderson,RB,,5,,26,65.33,$5 ,187,NA
26,Adrian Peterson,RB,,5,,32,80.22,$4 ,176.2,NA
27,Eddie Lacy,RB,,6,Que,27,76.92,$5 ,175.4,NA
28,Mike Gillislee,RB,,9,,27,63.54,$3 ,174.5,NA
29,Danny Woodhead,RB,,10,,32,72.91,$2 ,167.9,NA
30,Paul Perkins,RB,,8,,23,78.27,$4 ,167.8,NA
31,Frank Gore,RB,,11,,34,89.48,$3 ,162.3,NA
32,Derrick Henry,RB,,8,,23,77.74,$8 ,162,NA
33,Theo Riddick,RB,,7,Que,26,86.26,$3 ,159.5,NA
34,Samaje Perine,RB,,5,,22,87.39,$5 ,158.8,NA
35,Doug Martin,RB,,11,Sus,28,73.75,$4 ,156,NA
36,LeGarrette Blount,RB,,10,,31,91.36,$3 ,152.9,NA
37,Latavius Murray,RB,,9,Que,27,142.99,$3 ,148,NA
38,C.J. Prosise,RB,,6,,23,101.57,$5 ,147,NA
39,Matt Forte,RB,,11,Que,32,116.84,$3 ,146.9,NA
40,James White,RB,,9,,25,117.68,$2 ,146.7,NA
41,Duke Johnson,RB,,9,,24,113.77,$2 ,138.5,NA
42,Kareem Hunt,RB,,10,,22,97.72,$5 ,138.1,NA
43,Jonathan Stewart,RB,,11,,30,123.57,$2 ,136,NA
44,Jamaal Charles,RB,,5,Que,31,144.74,$2 ,120.5,NA
45,Jamaal Williams,RB,,8,,,159.21,$2 ,119.7,NA
46,Giovani Bernard,RB,,6,Que,26,169.04,$3 ,119,NA
47,Rob Kelley,RB,,5,,25,132.21,$2 ,117.3,NA
48,Shane Vereen,RB,,8,,28,197.19,$1 ,113.1,NA
49,Chris Thompson,RB,,5,,27,177.96,$1 ,112,NA
50,Jeremy Hill,RB,,6,,25,164.45,$2 ,111.7,NA
51,Terrance West,RB,,10,,26,139.01,$2 ,109.1,NA
52,Thomas Rawls,RB,,6,,24,152.21,$2 ,109,NA
53,Darren Sproles,RB,,10,,34,140.42,$1 ,106.7,NA
54,Alvin Kamara,RB,,5,,21,138.75,$4 ,104,NA
55,Dion Lewis,RB,,9,Que,27,206.86,$1 ,103.7,NA
56,Jonathan Williams,RB,,6,,23,155.84,$1 ,103,NA
57,Rex Burkhead,RB,,9,,27,192.2,$2 ,99.5,NA
58,Charles Sims,RB,,11,,27,195.57,$1 ,97,NA
59,Joe Williams,RB,,11,,24,142.19,$3 ,96,NA
60,D'Onta Foreman,RB,,7,,21,176.46,$3 ,93.6,NA
61,Jalen Richard,RB,,10,,24,210.77,$1 ,93,NA
62,Jerick McKinnon,RB,,9,,25,220.75,$1 ,87.5,NA
