RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
1,"Rob Gronkowski, NE TEBreaking Video",HAM,,0/0,0,0,0,0,0,0,67.3,1028.2,9,156.3,170.3
2,"Greg Olsen, Car TE",RMO,,0/0,0,0,0,0,0,0,80.2,1064.3,6.3,145.1,143.3
3,"Jordan Reed*, Wsh TE  ORecent News",SENK,,0/0,0,0,0,0,0,0,88,970.5,6.3,134.1,134.3
4,"Travis Kelce, KC TE",COLE,,0/0,0,0,0,0,0,0,83.7,1040.8,4.7,132,121.7
5,"Kyle Rudolph, Min TE",RIP,,0/0,0,0,0,0,0,0,76.3,742.2,6.6,114.1,120.9
6,"Jimmy Graham, Sea TE",Bro,,0/0,0,0,0,0,0,0,58.3,726.7,6.5,111.3,117
7,"Delanie Walker, Ten TE",Bro,,0/0,0,0,0,0,0,0,60.2,705.2,5.7,104.5,116.7
8,"Jack Doyle, Ind TE",NIEV,,0/0,0,0,0,0,0,0,62.9,615.3,6.1,98,116.4
9,"Zach Ertz, Phi TE",ALES,,0/0,0,0,0,0,0,0,69,719,4.2,97.5,106.1
10,"Hunter Henry, LAC TE",COLE,,0/0,0,0,0,0,0,0,51,599.1,6.2,96.9,106
11,"Martellus Bennett, GB TE",COLE,,0/0,0,0,0,0,0,0,59,609.8,5.7,95.7,105.7
12,"Jason Witten, Dal TE",BOO,,0/0,0,0,0,0,0,0,65.7,662.6,4.6,93.6,98
13,"Eric Ebron, Det TE",ALES,,0/0,0,0,0,0,0,0,62.4,701,4,93.5,96.1
14,"Tyler Eifert, Cin TERecent News",NIEV,,0/0,0,0,0,0,0,0,57.4,618.8,5.2,92.5,91
15,"Austin Hooper, Atl TE",SENK,,0/0,0,0,0,0,0,0,48.1,569.9,5.9,92.4,90.5
16,"Coby Fleener, NO TE",JAJ,,0/0,0,0,0,0,0,0,47.7,570.6,5.9,92.1,90.3
17,"C.J. Fiedorowicz, Hou TE  Q",FA,,0/0,0,0,0,0,0,0,57,620.4,4,85.8,89.6
18,"Cameron Brate, TB TE",HAM,,0/0,0,0,0,0,0,0,50.9,551.9,5,85.2,87.9
19,"Antonio Gates, LAC TE",JTR,,0/0,0,0,0,0,0,0,42.8,487.2,4.9,78.1,86.8
20,"Evan Engram, NYG TE",FA,,0/0,0,0,0,0,0,0,47,513.9,3.9,74.4,86.7
21,"Julius Thomas, Mia TE",FA,,0/0,0,0,0,0,0,0,42.2,416.1,5.5,74.4,77.8
22,"Charles Clay, Buf TEBreaking News",FA,,0/0,0,0,0,0,0,0,48.3,486.6,3.3,69,75.5
