##,PLAYER,NFL,Team,BYE,INJ.,AGE,ADP,AAV,PTS,
1,Rob Gronkowski ,TE,,11,,29,21.88,$16 ,161,NA
2,Travis Kelce ,TE,,12,,29,27.54,$15 ,152.2,NA
3,Zach Ertz ,TE,,9,,28,41.72,$11 ,126.2,NA
4,Jimmy Graham ,TE,,7,,32,59.93,$8 ,123.1,NA
5,Greg Olsen ,TE,,4,,33,62.88,$7 ,118,NA
6,Evan Engram ,TE,,9,Que,24,67.21,$8 ,117.6,NA
7,Kyle Rudolph ,TE,,10,,29,84.51,$6 ,109.1,NA
8,David Njoku ,TE,,11,,22,111.47,$4 ,101,NA
9,Delanie Walker ,TE,,8,Que,34,84.23,$5 ,100.2,NA
10,Jared Cook ,TE,,7,,31,162.26,$2 ,92.7,NA
11,Austin Hooper ,TE,,8,,24,173.44,$1 ,90.7,NA
12,Jordan Reed ,TE,,4,Que,28,96.85,$4 ,89.3,NA
13,Jack Doyle ,TE,,9,,28,102.36,$3 ,89,NA
14,Cameron Brate ,TE,,5,,27,172.69,$2 ,87,NA
15,O.J. Howard ,TE,,5,,24,131.98,$3 ,87,NA
16,George Kittle ,TE,,11,Que,25,135.99,$3 ,83.5,NA
17,Vance McDonald ,TE,,7,Que,28,166.21,$1 ,80,NA
18,Trey Burton ,TE,,5,,27,88.4,$5 ,78.5,NA
19,Mike Gesicki ,TE,,11,,23,164.53,$4 ,78,NA
20,Austin Seferian-Jenkins ,TE,,9,,26,164.95,$2 ,75.6,NA
21,Eric Ebron ,TE,,9,,25,160.68,$2 ,75.3,NA
22,Tyler Eifert ,TE,,9,,28,136.51,$3 ,74.4,NA
23,Ricky Seals-Jones ,TE,,9,,23,183.91,$2 ,72.6,NA
24,Charles Clay ,TE,,11,,29,166.84,$2 ,69.4,NA
25,Hayden Hurst ,TE,,10,Out,25,166.58,$2 ,68,NA
26,Ed Dickson ,TE,,7,Out,31,217.75,$1 ,67.3,NA
27,Gerald Everett ,TE,,12,Que,24,240.03,$1 ,66.2,NA
28,Adam Shaheen ,TE,,5,Que,24,250.12,$1 ,65,NA
29,Ben Watson ,TE,,6,,38,178.87,$1 ,64.1,NA
30,Michael Roberts ,TE,,6,,24,282.38,$1 ,61.7,NA
31,Ryan Griffin ,TE,,10,,28,228.64,$1 ,60.5,NA
32,Dallas Goedert ,TE,,9,,24,190.7,$2 ,58,NA
33,Virgil Green ,TE,,8,,30,218.5,$1 ,57.4,NA
34,Jesse James ,TE,,7,Que,24,218.84,$1 ,53.8,NA
35,Rico Gathers ,TE,,8,,24,295.07,$1 ,53.3,NA
36,Jake Butt ,TE,,10,,23,213.76,$2 ,52.8,NA
37,Stephen Anderson ,TE,,10,,25,286.48,$1 ,49.5,NA
38,Vernon Davis ,TE,,4,,34,201.38,$1 ,47.8,NA
39,A.J. Derby ,TE,,11,,27,0,$0 ,45,NA
40,Jonnu Smith ,TE,,8,,23,242.35,$1 ,43.9,NA
41,Seth DeValve ,TE,,11,Que,25,416,$0 ,41.1,NA
42,Blake Jarwin ,TE,,8,,24,250.54,$1 ,40,NA
43,Garrett Celek ,TE,,11,,30,322.7,$1 ,38.9,NA
44,Tyler Kroft ,TE,,9,,26,244.71,$1 ,38.1,NA
45,Nick O'Leary ,TE,,11,,26,391,$0 ,36.2,NA
46,Clive Walford ,TE,,11,,27,324.58,$0 ,36.1,NA
47,Luke Willson ,TE,,6,Que,28,229.35,$1 ,34.6,NA
48,Marcedes Lewis ,TE,,7,,34,0,$0 ,34.5,NA
49,Nick Boyle ,TE,,10,,25,0,$0 ,30.9,NA
50,Jeff Heuerman ,TE,,10,,26,427.33,$1 ,30.3,NA
51,Chris Herndon ,TE,,11,,,286.32,$1 ,26.3,NA
52,Jermaine Gresham ,TE,,9,Out,30,567.83,$0 ,24,NA
53,Josh Hill ,TE,,6,,28,618.2,$0 ,22.7,NA
54,Mark Andrews ,TE,,10,,22,273.63,$2 ,20,NA
55,Dwayne Allen ,TE,,11,,28,297.26,$0 ,19.6,NA
56,Demetrius Harris ,TE,,12,Sus,27,532,$0 ,19.1,NA
57,Nick Vannett ,TE,,7,,25,252.6,$1 ,18.9,NA
58,Tyler Higbee ,TE,,12,,25,264.55,$1 ,18.1,NA
59,Tyler Conklin ,TE,,10,,,392.11,$0 ,17.5,NA
60,Derek Carrier ,TE,,7,,28,0,$0 ,10.7,NA
61,Eric Saubert ,TE,,8,,24,0,$0 ,9.9,NA
62,Lance Kendricks ,TE,,7,,30,0,$0 ,8.5,NA
63,Ian Thomas ,TE,,4,,22,264.01,$1 ,8.5,NA
64,Rhett Ellison ,TE,,9,Que,30,0,$0 ,7.8,NA
65,Jordan Leggett ,TE,,11,,23,328.64,$1 ,6.6,NA
66,Troy Fumagalli ,TE,,10,Que,,304.29,$1 ,5.1,NA
67,Jordan Akins ,TE,,10,,26,258.87,$1 ,4.6,NA
68,Niles Paul ,TE,,9,,29,0,$0 ,4.2,NA
69,Dion Sims ,TE,,5,Que,27,0,$0 ,3.5,NA
