RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
1,"Antonio Brown, Pit WR",RMO,,0/0,0,0,0,4,22.3,0.1,107.7,1420.5,7.7,195.1,253.3
2,"Julio Jones, Atl WR  QRecent News",HAM,,0/0,0,0,0,0,0,0,95.8,1434,7.3,187.8,218.2
3,"Jordy Nelson, GB WRRecent News",JAJ,,0/0,0,0,0,0,0,0,92.4,1277.1,9.9,187.2,205.5
4,"Odell Beckham Jr., NYG WR",BOB,,0/0,0,0,0,0,0,0,97.4,1312.6,8.1,179.1,186.4
5,"A.J. Green, Cin WR",RIP,,0/0,0,0,0,0,0,0,96.3,1312.2,7.6,177,182.2
6,"T.Y. Hilton, Ind WR  Q",ALES,,0/0,0,0,0,0,0,0,84.3,1308.8,7.4,175.7,181.5
7,"Mike Evans, TB WRBreaking News",COLE,,0/0,0,0,0,0,0,0,87,1204.8,8.6,173.1,178
8,"Michael Thomas, NO WR",HAM,,0/0,0,0,0,0,0,0,94.3,1174.5,8,164.8,172.3
9,"Doug Baldwin, Sea WR",Bro,,0/0,0,0,0,4.1,25.7,0.1,85.7,1096,6.7,152.9,170.2
10,"Terrelle Pryor Sr., Wsh WR",RIP,,0/0,0,0,0,3.3,20.7,0.1,76.3,1079.1,6.1,146.6,169.3
11,"Amari Cooper, Oak WR",RMO,,0/0,0,0,0,3.2,20.2,0.1,81.8,1113.8,5.5,146.1,165.8
12,"Brandin Cooks, NE WR",BOB,,0/0,0,0,0,4.2,26.3,0.2,77.7,1058.1,6.1,146,164.6
13,"DeAndre Hopkins, Hou WRRecent News",BOO,,0/0,0,0,0,0,0,0,83.3,1133.2,5.4,146,164.5
14,"Alshon Jeffery, Phi WR",RMO,,0/0,0,0,0,0,0,0,78,1097.3,5.9,145.2,161.2
15,"Dez Bryant, Dal WRBreaking Video",BOO,,0/0,0,0,0,0,0,0,69.3,993.7,7.5,144,158.5
16,"Sammy Watkins, Buf WR  QRecent News",BOB,,0/0,0,0,0,0,0,0,70.3,1105.4,5.6,143.3,153.2
17,"Golden Tate, Det WR",BOB,,0/0,0,0,0,9.8,55.2,0.2,88.7,1024.6,5.7,142.7,152.6
18,"Michael Crabtree, Oak WR",BOO,,0/0,0,0,0,0,0,0,85,985.6,7.2,141.2,150.5
19,"Allen Robinson, Jax WR",RIP,,0/0,0,0,0,0,0,0,73.7,998.9,6.9,141.2,149.9
20,"Martavis Bryant, Pit WR  SSPDRecent News",FA,,0/0,0,0,0,6,37.9,0.2,61.5,922.7,7.1,139.9,147.8
21,"Demaryius Thomas, Den WR",RIP,,0/0,0,0,0,0,0,0,85.9,1054.5,5.8,139.4,147.7
22,"Emmanuel Sanders, Den WR",BOB,,0/0,0,0,0,0,0,0,82,1080.2,5.3,139.2,142.9
23,"Julian Edelman, NE WR",JTR,,0/0,0,0,0,8.5,56,0.2,80.3,922.4,6,135.1,142.6
24,"Davante Adams, GB WR",NIEV,,0/0,0,0,0,0,0,0,72,890.8,7.8,135,139.3
25,"Larry Fitzgerald, Ari WR",HAM,,0/0,0,0,0,0,0,0,89.6,1001.5,5.9,134.7,138.8
26,"Tyreek Hill, KC WR",JAJ,,0/0,0,0,0,22.8,143.6,0.8,76.2,826.4,4.1,132.3,137.7
27,"Kelvin Benjamin, Car WRRecent News",COLE,,0/0,0,0,0,0,0,0,65,934.4,6.3,131.1,136.9
28,"Jamison Crowder, Wsh WR",BOO,,0/0,0,0,0,4,25.3,0.1,82.7,1006.5,4.2,129.5,136.8
29,"DeVante Parker, Mia WRBreaking News",FA,,0/0,0,0,0,0,0,0,65.4,890.3,6.6,128.5,136.7
30,"Jarvis Landry, Mia WRRecent News",JAJ,,0/0,0,0,0,4,23.4,0.1,90.2,957.9,4.8,128.2,136.4
31,"Brandon Marshall, NYG WR",Bro,,0/0,0,0,0,0,0,0,67,873.9,6.5,126.4,135.4
32,"Willie Snead, NO WR",COLE,,0/0,0,0,0,0,0,0,74.9,946.6,5.3,124.9,135
33,"Donte Moncrief, Ind WR",NIEV,,0/0,0,0,0,1.9,11.7,0.1,68.7,797,7.4,124.7,133.5
34,"Pierre Garcon, SF WR",ALES,,0/0,0,0,0,0,0,0,80.1,990.9,3.9,122.7,126.4
35,"DeSean Jackson, TB WRBreaking News",COLE,,0/0,0,0,0,0,0,0,58.1,951.6,4.5,122.5,124.6
36,"Stefon Diggs, Min WR",BOO,,0/0,0,0,0,3.7,23.5,0.1,79.5,926.2,4.3,121.4,122.8
37,"Randall Cobb, GB WRBreaking News",Bro,,0/0,0,0,0,7.4,47.5,0.2,68.3,781.8,5.9,120.2,114.9
