##,PLAYER,NFL,Team,BYE,INJ.,AGE,ADP,AAV,PTS,
1,Antonio Brown,WR,,9,,29,3.6,$22 ,339.6,NA
2,Odell Beckham,WR,,8,,25,5.33,$17 ,317.2,NA
3,Julio Jones,WR,,5,Que,28,5.74,$21 ,314.1,NA
4,Mike Evans,WR,,11,,24,7.83,$16 ,289,NA
5,A.J. Green,WR,,6,,29,8.51,$17 ,281,NA
6,Jordy Nelson,WR,,8,,32,13.03,$11 ,272.5,NA
7,Michael Thomas,WR,,5,,24,14.08,$19 ,270,NA
8,Ty Hilton,WR,,11,Que,28,15.94,$14 ,266.5,NA
9,Dez Bryant,WR,,6,,29,19.84,$13 ,259.9,NA
10,Doug Baldwin,WR,,6,,29,22.92,$9 ,259.1,NA
11,Amari Cooper,WR,,10,,23,17.19,$19 ,255,NA
12,DeAndre Hopkins,WR,,7,,25,23.67,$15 ,251,NA
13,Brandin Cooks,WR,,9,,24,27.08,$14 ,250,NA
14,Jarvis Landry,WR,,11,,25,36.77,$11 ,239,NA
15,Demaryius Thomas,WR,,5,,30,28.27,$9 ,237,NA
16,Keenan Allen,WR,,9,,25,35.64,$11 ,235,NA
17,Alshon Jeffery,WR,,10,,27,37.68,$10 ,233.5,NA
18,Allen Robinson,WR,,8,,24,30.52,$14 ,232.5,NA
19,Sammy Watkins,WR,,6,Que,24,31.24,$12 ,230.9,NA
20,Martavis Bryant,WR,,9,,26,47.41,$5 ,230,NA
21,Davante Adams,WR,,8,,25,39.28,$9 ,230,NA
22,Tyreek Hill,WR,,10,,23,44.42,$7 ,227,NA
23,Julian Edelman,WR,,9,,31,55.65,$6 ,224.5,NA
24,Terrelle Pryor,WR,,5,,28,41.67,$6 ,224.5,NA
25,Golden Tate,WR,,7,,29,44.85,$5 ,220,NA
26,Michael Crabtree,WR,,10,,30,45.59,$6 ,219.1,NA
27,Emmanuel Sanders,WR,,5,,30,58.42,$5 ,217.5,NA
28,Donte Moncrief,WR,,11,,24,62.95,$6 ,217,NA
29,Stefon Diggs,WR,,9,,24,50.02,$8 ,216,NA
30,Willie Snead,WR,,5,,25,56.04,$5 ,214.7,NA
31,Kelvin Benjamin,WR,,11,,26,71.56,$6 ,214,NA
32,Larry Fitzgerald,WR,,8,,34,49.94,$4 ,214,NA
