Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Calvin Johnson,DET,WR,253.0,236.4,15.29375,244.7,9,6.921875,9.487499999999999
Demaryius Thomas,DEN,WR,242.4,216.0,14.325,229.2,4,5.953125,8.518749999999999
Dez Bryant,DAL,WR,231.0,201.5,13.515625,216.25,11,5.143750000000001,7.709375
Julio Jones,ATL,WR,213.1,192.6,12.678125,202.85,9,4.30625,6.871874999999999
A.J. Green,CIN,WR,201.2,199.6,12.525,200.4,4,4.153125000000001,6.71875
Alshon Jeffery,CHI,WR,205.0,188.9,12.309375,196.95,9,3.9375,6.503124999999999
Jordy Nelson,GB,WR,197.0,188.6,12.05,192.8,9,3.6781250000000014,6.24375
Brandon Marshall,CHI,WR,189.1,195.0,12.003125,192.05,9,3.6312500000000014,6.196875
Antonio Brown,PIT,WR,192.6,188.2,11.9,190.4,12,3.528125000000001,6.09375
Randall Cobb,GB,WR,180.4,183.6,11.375,182.0,9,3.0031250000000007,5.56875
Vincent Jackson,TB,WR,176.3,172.7,10.90625,174.5,7,2.5343750000000007,5.1
Andre Johnson,HOU,WR,170.0,178.7,10.896875,174.35,10,2.5250000000000004,5.090624999999999
Keenan Allen,SD,WR,184.6,150.5,10.471875,167.55,10,2.1000000000000014,4.665625
Roddy White,ATL,WR,186.0,140.4,10.2,163.2,9,1.828125,4.393749999999999
DeSean Jackson,WAS,WR,169.8,147.7,9.921875,158.75,10,1.5500000000000007,4.115625
Michael Floyd,ARI,WR,181.5,135.6,9.909375,158.55,4,1.5375000000000014,4.103125
Michael Crabtree,SF,WR,172.8,141.5,9.821875,157.15,8,1.450000000000001,4.015625
Emmanuel Sanders,DEN,WR,172.5,140.3,9.775,156.4,4,1.403125000000001,3.96875
Pierre Garcon,WAS,WR,160.2,148.8,9.65625,154.5,10,1.2843750000000007,3.8499999999999996
Victor Cruz,NYG,WR,164.0,144.2,9.63125,154.1,8,1.2593750000000004,3.8249999999999993
T.Y. Hilton,IND,WR,164.7,141.3,9.5625,153.0,10,1.1906250000000007,3.7562499999999996
Cordarrelle Patterson,MIN,WR,167.3,137.8,9.534375,152.55,10,1.1625000000000014,3.7281250000000004
Larry Fitzgerald,ARI,WR,149.0,154.8,9.49375,151.9,4,1.121875000000001,3.6875
Percy Harvin,SEA,WR,172.3,127.7,9.375,150.0,4,1.0031250000000007,3.5687499999999996
Torrey Smith,BAL,WR,157.0,142.8,9.36875,149.9,11,0.9968750000000011,3.5625
Jeremy Maclin,PHI,WR,155.5,127.5,8.84375,141.5,7,0.4718750000000007,3.0374999999999996
Golden Tate,DET,WR,137.9,139.1,8.65625,138.5,9,0.2843750000000007,2.8499999999999996
Mike Wallace,MIA,WR,142.3,131.7,8.5625,137.0,5,0.1906250000000007,2.7562499999999996
Terrance Williams,DAL,WR,142.6,128.7,8.478125,135.65,11,0.10625000000000107,2.671875
Eric Decker,NYJ,WR,140.0,128.7,8.396875,134.35,11,0.025000000000000355,2.5906249999999993
Kendall Wright,TEN,WR,140.0,127.9,8.371875,133.95,9,0.0,2.565624999999999
Julian Edelman,NE,WR,130.5,136.9,8.35625,133.7,10,-0.015625,2.549999999999999
Reggie Wayne,IND,WR,125.0,138.8,8.24375,131.9,10,-0.12812499999999893,2.4375
Marques Colston,NO,WR,133.0,124.7,8.053125,128.85,6,-0.31874999999999964,2.2468749999999993
DeAndre Hopkins,HOU,WR,133.0,119.0,7.875,126.0,10,-0.4968749999999993,2.0687499999999996
Sammy Watkins,BUF,WR,135.2,109.9,7.659375,122.55,9,-0.7124999999999995,1.8531249999999995
Mike Evans,TB,WR,137.0,100.2,7.4125,118.6,7,-0.9593749999999996,1.6062499999999993
Rueben Randle,NYG,WR,138.5,95.5,7.3125,117.0,8,-1.0593749999999993,1.5062499999999996
