Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Seahawks D ST D ST,Def,DEF,142.0,116.0,8.33333333333,133.333333333,5,1.40625,2.2583333333299995
Cardinals D ST D ST,Def,DEF,140.0,119.9,8.33125,133.3,9,1.404166666670001,2.2562500000000005
Panthers D ST D ST,Def,DEF,136.0,122.6,8.22083333333,131.533333333,7,1.293750000000001,2.1458333333300006
Broncos D ST D ST,Def,DEF,138.0,109.5,8.03125,128.5,11,1.1041666666700003,1.9562499999999998
Chiefs D ST D ST,Def,DEF,131.0,116.5,7.88541666667,126.166666667,5,0.9583333333400006,1.8104166666700001
Texans D ST D ST,Def,DEF,124.0,114.0,7.54166666667,120.666666667,9,0.6145833333400006,1.4666666666700001
Rams D ST D ST,Def,DEF,121.0,110.7,7.34791666667,117.566666667,8,0.42083333334000006,1.2729166666699996
Bengals D ST D ST,Def,DEF,112.0,123.9,7.24791666667,115.966666667,9,0.3208333333400004,1.17291666667
Jets D ST D ST,Def,DEF,115.0,117.6,7.24166666667,115.866666667,11,0.3145833333399999,1.1666666666699994
Vikings D ST D ST,Def,DEF,117.0,112.2,7.2125,115.4,6,0.28541666667000065,1.1375000000000002
Packers D ST D ST,Def,DEF,110.0,121.1,7.10625,113.7,4,0.17916666667000047,1.03125
Patriots D ST D ST,Def,DEF,117.0,106.7,7.09791666667,113.566666667,9,0.17083333334000006,1.0229166666699996
Bills D ST D ST,Def,DEF,110.0,112.5,6.92708333333,110.833333333,10,0.0,0.8520833333299995
Eagles D ST D ST,Def,DEF,104.0,112.5,6.67708333333,106.833333333,4,-0.25,0.6020833333299995
Raiders D ST D ST,Def,DEF,104.0,111.4,6.65416666667,106.466666667,10,-0.2729166666599996,0.5791666666699999
Steelers D ST D ST,Def,DEF,105.0,104.1,6.54375,104.7,8,-0.3833333333299995,0.46875
Jaguars D ST D ST,Def,DEF,100.0,108.9,6.43541666667,102.966666667,5,-0.4916666666599996,0.36041666666999994
Ravens D ST D ST,Def,DEF,99.0,101.6,6.24166666667,99.8666666667,8,-0.6854166666600001,0.1666666666699994
Lions D ST D ST,Def,DEF,95.0,109.0,6.22916666667,99.6666666667,10,-0.6979166666599994,0.15416666667000012
Dolphins D ST D ST,Def,DEF,101.0,96.8,6.225,99.6,8,-0.7020833333300001,0.14999999999999947
Giants D ST D ST,Def,DEF,97.0,103.6,6.2,99.2,8,-0.7270833333299995,0.125
Buccaneers D ST D ST,Def,DEF,89.0,118.6,6.17916666667,98.8666666667,6,-0.7479166666600001,0.10416666666999941
Bears D ST D ST,Def,DEF,93.0,108.2,6.12916666667,98.0666666667,9,-0.7979166666599999,0.054166666669999586
Redskins D ST D ST,Def,DEF,96.0,101.7,6.11875,97.9,9,-0.8083333333299993,0.04375000000000018
Colts D ST D ST,Def,DEF,91.0,109.6,6.075,97.2,10,-0.8520833333299995,0.0
Chargers D ST D ST,Def,DEF,78.0,101.6,5.36666666667,85.8666666667,11,-1.5604166666600001,-0.7083333333300006
Browns D ST D ST,Def,DEF,86.0,85.5,5.36458333333,85.8333333333,13,-1.5625,-0.7104166666700005
Falcons D ST D ST,Def,DEF,77.0,101.5,5.32291666667,85.1666666667,11,-1.6041666666599994,-0.7520833333299999
Titans D ST D ST,Def,DEF,78.0,98.9,5.31041666667,84.9666666667,13,-1.6166666666599996,-0.7645833333300001
Cowboys D ST D ST,Def,DEF,83.0,86.7,5.26458333333,84.2333333333,7,-1.6624999999999996,-0.8104166666700001
49ers D ST D ST,Def,DEF,80.0,91.5,5.23958333333,83.8333333333,8,-1.6875,-0.8354166666700005
Saints D ST D ST,Def,DEF,73.0,102.9,5.18541666667,82.9666666667,5,-1.7416666666599996,-0.8895833333300001
