Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Stephen Gostkowski,K,K,167.0,149.3,10.06875,161.1,9,2.0291666666699992,3.1187499999999995
Steven Hauschka,K,K,142.0,145.7,8.95208333333,143.233333333,5,0.9124999999999996,2.00208333333
Justin Tucker,K,K,146.0,134.6,8.8875,142.2,8,0.8479166666699989,1.9374999999999991
Dan Bailey,K,K,144.0,138.1,8.87708333333,142.033333333,7,0.8375000000000004,1.9270833333300006
Adam Vinatieri,K,K,138.0,147.9,8.83125,141.3,10,0.7916666666700003,1.8812500000000005
Mason Crosby,K,K,141.0,133.7,8.66041666667,138.566666667,4,0.6208333333400002,1.7104166666700005
Blair Walsh,K,K,137.0,138.2,8.5875,137.4,6,0.5479166666699999,1.6375000000000002
Chandler Catanzaro,K,K,139.0,126.3,8.42291666667,134.766666667,9,0.3833333333399995,1.4729166666699998
Brandon McManus,K,K,141.0,118.5,8.34375,133.5,11,0.3041666666699996,1.3937499999999998
Graham Gano,K,K,133.0,127.5,8.19791666667,131.166666667,7,0.15833333333999988,1.2479166666700001
Josh Brown,K,K,131.0,131.0,8.1875,131.0,8,0.14791666666999959,1.2374999999999998
Chris Boswell,K,K,126.0,134.3,8.04791666667,128.766666667,8,0.008333333339999527,1.0979166666699998
Cairo Santos,K,K,132.0,121.9,8.03958333333,128.633333333,5,0.0,1.0895833333300002
Matt Prater,K,K,127.0,127.3,7.94375,127.1,10,-0.09583333333000077,0.9937499999999995
Roberto Aguayo,K,K,119.0,138.2,7.8375,125.4,6,-0.20208333333000006,0.8875000000000002
Dan Carpenter,K,K,126.0,120.0,7.75,124.0,10,-0.2895833333300004,0.7999999999999998
Sebastian Janikowski,K,K,126.0,117.8,7.70416666667,123.266666667,10,-0.3354166666600005,0.7541666666699998
Josh Lambo,K,K,118.0,119.1,7.39791666667,118.366666667,11,-0.6416666666600008,0.4479166666699994
Jason Myers,K,K,114.0,121.7,7.28541666667,116.566666667,5,-0.7541666666600007,0.3354166666699996
Mike Nugent,K,K,114.0,115.7,7.16041666667,114.566666667,9,-0.8791666666600007,0.21041666666999959
Matt Bryant,K,K,109.0,124.3,7.13125,114.1,11,-0.9083333333300008,0.18124999999999947
Phil Dawson,K,K,114.0,112.2,7.0875,113.4,8,-0.9520833333300001,0.13750000000000018
Dustin Hopkins,K,K,107.0,121.3,6.98541666667,111.766666667,9,-1.0541666666600005,0.03541666666999976
Robbie Gould,K,K,104.0,127.3,6.98541666667,111.766666667,9,-1.0541666666600005,0.03541666666999976
Nick Novak,K,K,105.0,123.6,6.95,111.2,9,-1.0895833333300002,0.0
Nick Folk,K,K,104.0,117.8,6.7875,108.6,11,-1.2520833333300008,-0.16250000000000053
Greg Zuerlein,K,K,110.0,97.4,6.6125,105.8,8,-1.4270833333300006,-0.33750000000000036
Andrew Franks,K,K,96.0,110.9,6.31041666667,100.966666667,8,-1.7291666666600003,-0.6395833333300001
Ryan Succop,K,K,95.0,107.5,6.19791666667,99.1666666667,13,-1.8416666666600001,-0.7520833333299999
Cody Parkey,K,K,14.0,116.8,3.01666666667,48.2666666667,4,-5.0229166666600005,-3.9333333333300002
