Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Cam Newton,QB,QB,458.7,391.8,27.275,436.4,7,4.227083333299998,7.004166666699998
Aaron Rodgers,QB,QB,464.8,376.2,27.2041666667,435.266666667,4,4.15625,6.9333333334
Andrew Luck,QB,QB,446.9,360.1,26.1229166667,417.966666667,10,3.0749999999999993,5.8520833333999995
Russell Wilson,QB,QB,441.4,368.0,26.0583333333,416.933333333,5,3.0104166665999976,5.787499999999998
Drew Brees,QB,QB,438.8,354.3,25.6645833333,410.633333333,5,2.6166666666000005,5.393750000000001
Ben Roethlisberger,QB,QB,432.3,339.9,25.09375,401.5,8,2.045833333299999,4.822916666699999
Carson Palmer,QB,QB,432.2,323.2,24.7416666667,395.866666667,9,1.6937499999999979,4.470833333399998
Eli Manning,QB,QB,416.1,335.1,24.31875,389.1,8,1.2708333333000006,4.047916666700001
Blake Bortles,QB,QB,422.0,314.9,24.14375,386.3,5,1.0958333332999999,3.8729166667
Philip Rivers,QB,QB,410.7,324.4,23.8708333333,381.933333333,11,0.8229166665999976,3.599999999999998
Kirk Cousins,QB,QB,392.3,343.4,23.5,376.0,9,0.45208333329999917,3.2291666666999994
Derek Carr,QB,QB,398.0,315.9,23.1645833333,370.633333333,10,0.11666666660000047,2.8937500000000007
Andy Dalton,QB,QB,395.2,315.9,23.0479166667,368.766666667,9,0.0,2.7770833334000002
Jameis Winston,QB,QB,398.0,307.5,22.9895833333,367.833333333,6,-0.05833333340000024,2.71875
Tom Brady,QB,QB,402.3,282.3,22.64375,362.3,9,-0.4041666667000001,2.3729166667
Matthew Stafford,QB,QB,364.7,331.3,22.0979166667,353.566666667,10,-0.9499999999999993,1.827083333400001
Tyrod Taylor,QB,QB,369.8,310.1,21.86875,349.9,10,-1.1791666667000023,1.597916666699998
Marcus Mariota,QB,QB,387.5,266.7,21.7020833333,347.233333333,13,-1.3458333334000017,1.4312499999999986
Ryan Tannehill,QB,QB,369.9,299.3,21.6479166667,346.366666667,8,-1.4000000000000021,1.377083333399998
Ryan Fitzpatrick,QB,QB,361.5,311.4,21.55,344.8,11,-1.4979166667000001,1.2791666667000001
Joe Flacco,QB,QB,358.8,295.1,21.0979166667,337.566666667,8,-1.9499999999999993,0.827083333400001
Brock Osweiler,QB,QB,358.0,294.8,21.0583333333,336.933333333,9,-1.9895833334000024,0.7874999999999979
Matt Ryan,QB,QB,359.7,286.9,20.9645833333,335.433333333,11,-2.0833333334000024,0.6937499999999979
Jay Cutler,QB,QB,354.1,269.0,20.3583333333,325.733333333,9,-2.6895833334000017,0.08749999999999858
Alex Smith,QB,QB,336.7,299.6,20.2708333333,324.333333333,5,-2.7770833334000002,0.0
Robert Griffin,QB,QB,339.7,243.8,19.2333333333,307.733333333,13,-3.8145833334000017,-1.0375000000000014
Teddy Bridgewater,QB,QB,321.2,263.3,18.86875,301.9,6,-4.179166666700002,-1.402083333300002
Sam Bradford,QB,QB,319.9,208.9,17.68125,282.9,4,-5.366666666700002,-2.589583333300002
Blaine Gabbert,QB,QB,276.2,181.8,15.2958333333,244.733333333,8,-7.752083333400002,-4.975000000000001
Mark Sanchez,QB,QB,313.9,47.2,14.0625,225.0,11,-8.9854166667,-6.208333333300001
Jared Goff,QB,QB,243.8,142.4,13.125,210.0,8,-9.9229166667,-7.145833333300001
Dak Prescott,QB,QB,233.5,122.8,12.2875,196.6,7,-10.760416666700001,-7.983333333300001
Tony Romo ,QB,QB,184.5,195.0,11.75,188.0,7,-11.2979166667,-8.5208333333
Jimmy Garoppolo,QB,QB,91.5,85.7,5.59791666667,89.5666666667,9,-17.450000000030002,-14.672916666630002
Trevor Siemian,QB,QB,35.7,146.1,4.53125,72.5,11,-18.5166666667,-15.7395833333
Carson Wentz,QB,QB,66.8,58.5,4.00208333333,64.0333333333,4,-19.045833333370002,-16.26874999997
Colin Kaepernick,QB,QB,46.7,75.3,3.51458333333,56.2333333333,8,-19.533333333370003,-16.756249999970002
Case Keenum,QB,QB,44.3,61.0,3.11666666667,49.8666666667,8,-19.93125000003,-17.15416666663
Josh McCown,QB,QB,44.5,34.7,2.57708333333,41.2333333333,13,-20.470833333370003,-17.693749999970002
Landry Jones,QB,QB,22.1,21.0,1.35833333333,21.7333333333,8,-21.689583333370003,-18.912499999970002
Geno Smith,QB,QB,15.6,20.5,1.07708333333,17.2333333333,11,-21.970833333370003,-19.193749999970002
Brian Hoyer,QB,QB,15.5,18.0,1.02083333333,16.3333333333,9,-22.02708333337,-19.24999999997
Drew Stanton,QB,QB,18.1,8.8,0.9375,15.0,9,-22.1104166667,-19.3333333333
EJ Manuel,QB,QB,15.3,7.7,0.797916666667,12.7666666667,10,-22.250000000033,-19.472916666633
AJ McCarron,QB,QB,16.6,1.3,0.71875,11.5,9,-22.3291666667,-19.5520833333
Dan Orlovsky,QB,QB,16.1,1.4,0.7,11.2,10,-22.3479166667,-19.5708333333
Nick Foles,QB,QB,14.9,1.1,0.64375,10.3,5,-22.4041666667,-19.6270833333
Derek Anderson,QB,QB,14.2,1.4,0.620833333333,9.93333333333,7,-22.427083333367,-19.649999999967
Ryan Mallett,QB,QB,13.0,1.3,0.56875,9.1,8,-22.4791666667,-19.7020833333
Chad Henne,QB,QB,12.7,1.5,0.560416666667,8.96666666667,5,-22.487500000033002,-19.710416666633
Matt Schaub,QB,QB,12.6,1.2,0.55,8.8,11,-22.4979166667,-19.7208333333
Matt Moore,QB,QB,12.3,1.2,0.5375,8.6,8,-22.5104166667,-19.7333333333
Luke McCown,QB,QB,10.9,1.4,0.483333333333,7.73333333333,5,-22.564583333367,-19.787499999967
Zach Mettenberger,QB,QB,10.4,1.3,0.460416666667,7.36666666667,11,-22.587500000033,-19.810416666633
Brett Hundley,QB,QB,10.2,1.5,0.45625,7.3,4,-22.5916666667,-19.8145833333
Ryan Nassib,QB,QB,10.2,1.5,0.45625,7.3,8,-22.5916666667,-19.8145833333
Matt McGloin,QB,QB,10.1,1.5,0.452083333333,7.23333333333,10,-22.595833333367,-19.818749999967
Scott Tolzien,QB,QB,10.0,1.6,0.45,7.2,10,-22.5979166667,-19.8208333333
Mike Glennon,QB,QB,9.9,1.3,0.439583333333,7.03333333333,6,-22.608333333367,-19.831249999967
Trevone Boykin,QB,QB,9.6,1.4,0.429166666667,6.86666666667,5,-22.618750000033,-19.841666666633
Matt Cassel,QB,QB,4.2,6.7,0.314583333333,5.03333333333,13,-22.733333333367,-19.956249999967
Colt McCoy,QB,QB,3.8,1.4,0.1875,3.0,9,-22.8604166667,-20.0833333333
Shaun Hill,QB,QB,3.1,1.1,0.152083333333,2.43333333333,6,-22.895833333367,-20.118749999967
