Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Leonard Fournette Jax RB,RB,RB,226.6,200.4,13.6166666667,217.866666667,8,7.10625000003,10.1854166667
Marshawn Lynch Oak RB,RB,RB,194.6,180.3,11.8645833333,189.833333333,10,5.35416666663,8.4333333333
Isaiah Crowell Cle RB,RB,RB,194.4,174.8,11.7416666667,187.866666667,9,5.23125000003,8.3104166667
Dalvin Cook Min RB,RB,RB,192.6,160.4,11.3666666667,181.866666667,9,4.85625000003,7.9354166667
Carlos Hyde SF RB,RB,RB,180.2,161.6,10.875,174.0,11,4.36458333333,7.44375
Christian McCaffrey Car RB,RB,RB,178.0,148.9,10.51875,168.3,11,4.00833333333,7.0875
Joe Mixon Cin RB,RB,RB,174.2,150.1,10.3854166667,166.166666667,6,3.875000000029999,6.954166666699999
Spencer Ware KC RB,RB,RB,168.0,160.4,10.3416666667,165.466666667,10,3.83125000003,6.9104166667
Ty Montgomery GB RB Q,RB,RB,169.8,150.5,10.2104166667,163.366666667,8,3.70000000003,6.7791666667
Doug Martin TB RB SSPD,RB,RB,178.0,116.9,9.85208333333,157.633333333,11,3.34166666666,6.42083333333
Mike Gillislee NE RB Q,RB,RB,156.3,151.5,9.66875,154.7,9,3.158333333329999,6.237499999999999
Mark Ingram NO RB,RB,RB,158.0,146.1,9.62708333333,154.033333333,5,3.1166666666600005,6.19583333333
Tevin Coleman Atl RB,RB,RB,163.2,128.4,9.475,151.6,5,2.9645833333299993,6.043749999999999
Ameer Abdullah Det RB,RB,RB,153.0,147.0,9.4375,151.0,7,2.9270833333299997,6.00625
Adrian Peterson NO RB,RB,RB,156.2,134.9,9.31875,149.1,5,2.8083333333299993,5.887499999999999
Frank Gore Ind RB,RB,RB,133.3,159.9,8.88541666667,142.166666667,11,2.375,5.45416666667
C J Anderson Den RB,RB,RB,145.0,134.2,8.8375,141.4,5,2.32708333333,5.40625
Derrick Henry Ten RB,RB,RB,159.5,101.5,8.76041666667,140.166666667,8,2.25,5.32916666667
LeGarrette Blount Phi RB,RB,RB,145.7,126.0,8.69583333333,139.133333333,10,2.18541666666,5.26458333333
Paul Perkins NYG RB,RB,RB,141.2,132.2,8.6375,138.2,8,2.127083333329999,5.206249999999999
Bilal Powell NYJ RB,RB,RB,138.1,137.9,8.62708333333,138.033333333,11,2.1166666666600005,5.19583333333
Eddie Lacy Sea RB,RB,RB,130.4,137.8,8.30416666667,132.866666667,6,1.7937499999999993,4.872916666669999
Samaje Perine Wsh RB,RB,RB,167.4,43.5,7.88125,126.1,5,1.3708333333299993,4.449999999999999
Jonathan Stewart Car RB,RB,RB,118.0,124.1,7.50208333333,120.033333333,11,0.9916666666599996,4.07083333333
Rob Kelley Wsh RB,RB,RB,110.3,139.1,7.49375,119.9,5,0.9833333333300001,4.0625
Terrance West Bal RB,RB,RB,106.1,147.3,7.48958333333,119.833333333,10,0.9791666666599994,4.058333333329999
Matt Forte NYJ RB Q,RB,RB,115.0,123.6,7.36666666667,117.866666667,11,0.8562499999999993,3.9354166666699997
Danny Woodhead Bal RB,RB,RB,114.8,116.9,7.21875,115.5,10,0.7083333333299997,3.7875
Kareem Hunt KC RB,RB,RB,114.5,97.6,6.80416666667,108.866666667,10,0.2937499999999993,3.3729166666699997
Theo Riddick Det RB Q,RB,RB,100.5,111.5,6.51041666667,104.166666667,7,0.0,3.0791666666700004
Rex Burkhead NE RB,RB,RB,112.0,77.5,6.28125,100.5,9,-0.2291666666700003,2.85
Duke Johnson Jr Cle RB,RB,RB,90.3,116.7,6.19375,99.1,9,-0.31666666667000065,2.7624999999999997
Jamaal Williams GB RB,RB,RB,112.0,67.9,6.08125,97.3,8,-0.4291666666700005,2.65
Jamaal Charles Den RB Q,RB,RB,98.1,95.5,6.07708333333,97.2333333333,5,-0.43333333334000024,2.64583333333
Latavius Murray Min RB Q,RB,RB,108.5,71.4,6.00833333333,96.1333333333,9,-0.5020833333399999,2.5770833333300005
Darren McFadden Dal RB,RB,RB,83.3,116.5,5.89791666667,94.3666666667,6,-0.6125000000000007,2.4666666666699997
Darren Sproles Phi RB,RB,RB,87.0,105.6,5.825,93.2,10,-0.6854166666700001,2.3937500000000003
C J Prosise Sea RB Q,RB,RB,96.8,81.1,5.72291666667,91.5666666667,6,-0.7875000000000005,2.29166666667
Thomas Rawls Sea RB Q,RB,RB,102.1,63.2,5.57083333333,89.1333333333,6,-0.9395833333399999,2.1395833333300005
Giovani Bernard Cin RB,RB,RB,73.0,115.9,5.45625,87.3,6,-1.0541666666700005,2.025
James White NE RB,RB,RB,87.7,86.2,5.45,87.2,9,-1.0604166666700001,2.0187500000000003
Jeremy Hill Cin RB,RB,RB,103.4,52.0,5.39166666667,86.2666666667,6,-1.1187500000000004,1.96041666667
Jonathan Williams Buf RB,RB,RB,94.0,63.5,5.23958333333,83.8333333333,6,-1.2708333333400006,1.8083333333299998
D Onta Foreman Hou RB,RB,RB,90.5,59.3,5.00625,80.1,7,-1.5041666666700007,1.5749999999999997
Chris Thompson Wsh RB,RB,RB,72.5,94.0,4.97916666667,79.6666666667,5,-1.53125,1.5479166666700004
Shane Vereen NYG RB,RB,RB,70.5,88.6,4.78333333333,76.5333333333,8,-1.7270833333400004,1.35208333333
DeAndre Washington Oak RB,RB,RB,75.6,61.4,4.42916666667,70.8666666667,10,-2.0812500000000007,0.9979166666699997
Dion Lewis NE RB,RB,RB,73.0,64.8,4.39166666667,70.2666666667,9,-2.1187500000000004,0.96041666667
Alvin Kamara NO RB,RB,RB,68.0,73.9,4.37291666667,69.9666666667,5,-2.1375,0.9416666666700002
Tarik Cohen Chi RB,RB,RB,79.0,50.6,4.34583333333,69.5333333333,9,-2.1645833333400004,0.91458333333
Charles Sims TB RB,RB,RB,60.0,84.3,4.25625,68.1,11,-2.2541666666700007,0.8249999999999997
Tim Hightower SF RB,RB,RB,72.0,52.0,4.08333333333,65.3333333333,11,-2.4270833333400006,0.6520833333299998
Joe Williams SF RB,RB,RB,85.2,24.7,4.06458333333,65.0333333333,11,-2.4458333333400004,0.63333333333
Jacquizz Rodgers TB RB,RB,RB,63.6,67.2,4.05,64.8,11,-2.4604166666700005,0.6187499999999999
Robert Turbin Ind RB,RB,RB,51.0,82.7,3.84791666667,61.5666666667,11,-2.6625,0.4166666666700003
Devontae Booker Den RB O,RB,RB,66.0,51.2,3.81666666667,61.0666666667,5,-2.69375,0.3854166666700003
T J Yeldon Jax RB Q,RB,RB,59.0,60.0,3.70833333333,59.3333333333,8,-2.80208333334,0.27708333333000024
Donnel Pumphrey Phi RB,RB,RB,65.0,46.6,3.67916666667,58.8666666667,10,-2.8312500000000003,0.24791666667000012
Jalen Richard Oak RB,RB,RB,62.0,47.9,3.58125,57.3,10,-2.9291666666700005,0.1499999999999999
Marlon Mack Ind RB,RB,RB,69.2,33.2,3.575,57.2,11,-2.93541666667,0.14375000000000027
Kenyan Drake Mia RB Q,RB,RB,57.8,49.1,3.43125,54.9,11,-3.0791666666700004,0.0
James Conner Pit RB,RB,RB,60.0,43.4,3.40416666667,54.4666666667,9,-3.10625,-0.027083333329999792
Aaron Jones GB RB,RB,RB,63.0,33.3,3.31875,53.1,8,-3.19166666667,-0.11249999999999982
Jerick McKinnon Min RB,RB,RB,47.5,53.4,3.09166666667,49.4666666667,9,-3.41875,-0.3395833333299998
Christopher Ivory Jax RB,RB,RB,54.0,39.0,3.0625,49.0,8,-3.4479166666700003,-0.3687499999999999
Jeremy McNichols TB RB,RB,RB,66.2,6.5,2.89375,46.3,11,-3.6166666666700005,-0.5375000000000001
Zach Zenner Det RB,RB,RB,47.9,33.0,2.68333333333,42.9333333333,7,-3.8270833333400005,-0.7479166666700001
Wayne Gallman NYG RB,RB,RB,55.8,13.8,2.6125,41.8,8,-3.8979166666700005,-0.8187500000000001
Wendell Smallwood Phi RB Q,RB,RB,40.5,36.5,2.44791666667,39.1666666667,10,-4.0625,-0.9833333333300001
Damien Williams Mia RB,RB,RB,33.4,43.5,2.29791666667,36.7666666667,11,-4.2125,-1.13333333333
Branden Oliver LAC RB,RB,RB,35.9,38.2,2.29166666667,36.6666666667,9,-4.21875,-1.13958333333
Lance Dunbar LAR RB O,RB,RB,32.2,37.0,2.1125,33.8,8,-4.3979166666700005,-1.31875
Jeremy Langford Chi RB,RB,RB,43.8,9.9,2.03125,32.5,9,-4.47916666667,-1.4
Chris Johnson Ari RB,RB,RB,32.6,31.4,2.0125,32.2,8,-4.49791666667,-1.4187499999999997
Alfred Blue Hou RB,RB,RB,34.2,27.3,1.99375,31.9,7,-4.51666666667,-1.4375
Malcolm Brown LAR RB,RB,RB,38.7,16.6,1.95833333333,31.3333333333,8,-4.552083333340001,-1.47291666667
Mike Tolbert Buf RB,RB,RB,29.1,33.1,1.90208333333,30.4333333333,6,-4.60833333334,-1.52916666667
