Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Rob Gronkowski,TE,TE,294.0,248.8,17.4333333333,278.933333333,9,7.9333333332999985,10.227083333299998
Jordan Reed,TE,TE,229.3,233.4,14.4166666667,230.666666667,9,4.916666666699999,7.2104166667
Greg Olsen,TE,TE,229.3,210.0,13.9291666667,222.866666667,7,4.4291666667000005,6.722916666700001
Travis Kelce,TE,TE,210.5,197.0,12.875,206.0,5,3.375,5.66875
Delanie Walker,TE,TE,204.2,191.2,12.4916666667,199.866666667,13,2.9916666667000005,5.285416666700001
Coby Fleener,TE,TE,196.9,202.4,12.4208333333,198.733333333,5,2.920833333299999,5.214583333299999
Zach Ertz,TE,TE,186.0,189.0,11.6875,187.0,4,2.1875,4.48125
Gary Barnidge,TE,TE,179.0,178.2,11.1708333333,178.733333333,13,1.6708333332999992,3.9645833332999993
Julius Thomas,TE,TE,172.0,167.4,10.6541666667,170.466666667,5,1.1541666667000001,3.4479166667000003
Tyler Eifert ,TE,TE,169.6,157.6,10.35,165.6,9,0.8499999999999996,3.14375
Jason Witten,TE,TE,144.9,188.6,9.96666666667,159.466666667,7,0.46666666666999923,2.7604166666699994
Antonio Gates,TE,TE,148.0,166.5,9.63541666667,154.166666667,11,0.1354166666700003,2.4291666666700005
Martellus Bennett,TE,TE,149.2,157.6,9.5,152.0,9,0.0,2.29375
Eric Ebron,TE,TE,151.5,150.0,9.4375,151.0,10,-0.0625,2.23125
Dwayne Allen,TE,TE,155.5,136.7,9.32708333333,149.233333333,10,-0.17291666666999994,2.1208333333300002
Jimmy Graham,TE,TE,146.0,146.1,9.12708333333,146.033333333,5,-0.37291666666999923,1.920833333330001
Charles Clay,TE,TE,137.2,145.2,8.74166666667,139.866666667,10,-0.7583333333300004,1.5354166666699998
Clive Walford,TE,TE,133.5,140.4,8.4875,135.8,10,-1.0124999999999993,1.2812500000000009
Jordan Cameron,TE,TE,129.4,122.5,7.94375,127.1,8,-1.5562500000000004,0.7374999999999998
Kyle Rudolph,TE,TE,128.0,124.6,7.92916666667,126.866666667,6,-1.5708333333300004,0.7229166666699998
Benjamin Watson,TE,TE,120.8,127.3,7.68541666667,122.966666667,8,-1.8145833333299999,0.4791666666700003
Austin Seferian Jenkins,TE,TE,130.1,106.5,7.63958333333,122.233333333,6,-1.86041666667,0.43333333333000024
Vance McDonald,TE,TE,133.0,99.7,7.61875,121.9,8,-1.8812499999999996,0.41250000000000053
Jared Cook,TE,TE,122.5,119.4,7.59166666667,121.466666667,4,-1.9083333333299999,0.3854166666700003
Will Tye,TE,TE,126.0,93.9,7.20625,115.3,8,-2.29375,0.0
Jacob Tamme,TE,TE,120.7,101.2,7.1375,114.2,11,-2.3625,-0.06874999999999964
Ladarius Green ,TE,TE,130.5,81.5,7.13541666667,114.166666667,8,-2.3645833333299997,-0.07083333332999953
Jace Amaro,TE,TE,109.5,84.3,6.31875,101.1,11,-3.1812500000000004,-0.8875000000000002
Richard Rodgers,TE,TE,110.7,70.0,6.07083333333,97.1333333333,4,-3.4291666666699996,-1.1354166666699994
Cameron Brate,TE,TE,106.0,67.3,5.81875,93.1,6,-3.6812500000000004,-1.3875000000000002
Larry Donnell,TE,TE,95.5,84.2,5.73333333333,91.7333333333,8,-3.76666666667,-1.4729166666699998
Hunter Henry,TE,TE,104.0,63.8,5.6625,90.6,11,-3.8375000000000004,-1.5437500000000002
Lance Kendricks,TE,TE,96.1,67.1,5.40208333333,86.4333333333,8,-4.09791666667,-1.8041666666699996
Jesse James,TE,TE,93.9,68.5,5.33958333333,85.4333333333,8,-4.16041666667,-1.8666666666699996
Maxx Williams,TE,TE,92.0,56.4,5.00833333333,80.1333333333,8,-4.49166666667,-2.1979166666699994
Jeff Heuerman,TE,TE,94.0,50.9,4.97708333333,79.6333333333,11,-4.52291666667,-2.2291666666699994
Virgil Green,TE,TE,70.0,98.0,4.95833333333,79.3333333333,11,-4.54166666667,-2.24791666667
