Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Antonio Brown,PIT,WR,375.5,327.5,21.96875,351.5,11,9.55625,13.596875
Odell Beckham Jr ,NYG,WR,369.2,294.0,20.725,331.6,11,8.312500000000002,12.353125000000002
Julio Jones,ATL,WR,337.9,294.2,19.753125,316.05,10,7.340625000000001,11.381250000000001
Demaryius Thomas,DEN,WR,311.6,297.8,19.04375,304.7,7,6.63125,10.671875
Dez Bryant,DAL,WR,320.1,284.9,18.90625,302.5,6,6.49375,10.534375
Calvin Johnson,DET,WR,316.9,271.9,18.4,294.4,9,5.987499999999999,10.028125
Jordy Nelson,GB,WR,304.8,270.4,17.975,287.6,7,5.562500000000002,9.603125000000002
Randall Cobb,GB,WR,303.2,260.0,17.6,281.6,7,5.187500000000002,9.228125000000002
A J Green,CIN,WR,284.8,273.8,17.45625,279.3,7,5.043750000000001,9.084375000000001
Alshon Jeffery,CHI,WR,260.8,254.1,16.090625,257.45,7,3.6781249999999996,7.71875
Mike Evans,TB,WR,264.2,244.8,15.90625,254.5,6,3.4937500000000004,7.534375000000001
T Y Hilton,IND,WR,247.2,254.1,15.665625,250.65,10,3.2531250000000007,7.293750000000001
Emmanuel Sanders,DEN,WR,260.4,232.9,15.415625,246.65,7,3.0031250000000007,7.043750000000001
Kelvin Benjamin,CAR,WR,246.2,228.8,14.84375,237.5,5,2.4312500000000004,6.471875000000001
Jordan Matthews,PHI,WR,247.0,225.1,14.753125,236.05,8,2.340625000000001,6.381250000000001
Brandon Marshall,NYJ,WR,251.1,211.0,14.440625,231.05,5,2.028125000000001,6.068750000000001
Brandin Cooks,NO,WR,233.6,227.7,14.415625,230.65,11,2.0031250000000007,6.043750000000001
DeAndre Hopkins,HOU,WR,222.2,239.0,14.4125,230.6,9,2.0,6.040625
Julian Edelman,NE,WR,216.8,232.7,14.046875,224.75,4,1.6343750000000004,5.675000000000001
Andre Johnson,IND,WR,240.1,206.1,13.94375,223.1,10,1.53125,5.571875
Jarvis Landry,MIA,WR,231.3,210.2,13.796875,220.75,5,1.3843750000000004,5.425000000000001
Golden Tate,DET,WR,217.0,217.4,13.575,217.2,9,1.1624999999999996,5.203125
DeSean Jackson,WAS,WR,229.6,203.4,13.53125,216.5,8,1.1187500000000004,5.159375000000001
Keenan Allen,SD,WR,214.6,218.3,13.528125,216.45,10,1.1156249999999996,5.15625
Jeremy Maclin,KC,WR,217.7,213.2,13.465625,215.45,9,1.0531249999999996,5.09375
Amari Cooper,OAK,WR,212.8,217.6,13.45,215.2,6,1.0374999999999996,5.078125
Sammy Watkins,BUF,WR,213.0,216.5,13.421875,214.75,8,1.0093750000000004,5.050000000000001
Vincent Jackson,TB,WR,219.9,197.8,13.053125,208.85,6,0.640625,4.68125
Mike Wallace,MIN,WR,228.6,186.0,12.95625,207.3,5,0.5437500000000011,4.584375000000001
Larry Fitzgerald,ARI,WR,225.2,179.0,12.63125,202.1,9,0.21875,4.259375
Roddy White,ATL,WR,213.1,184.1,12.4125,198.6,10,0.0,4.040625
Eric Decker,NYJ,WR,202.0,194.9,12.403125,198.45,5,-0.009375000000000355,4.03125
Marques Colston ,NO,WR,226.2,167.0,12.2875,196.6,11,-0.125,3.9156250000000004
Allen Robinson,JAX,WR,179.1,210.9,12.1875,195.0,8,-0.22499999999999964,3.8156250000000007
Kendall Wright,TEN,WR,192.6,190.0,11.95625,191.3,4,-0.45624999999999893,3.5843750000000014
Torrey Smith,SF,WR,199.9,175.3,11.725,187.6,10,-0.6875,3.3531250000000004
Anquan Boldin,SF,WR,210.4,162.4,11.65,186.4,10,-0.7624999999999993,3.278125000000001
Martavis Bryant,PIT,WR,205.5,166.0,11.609375,185.75,11,-0.8031249999999996,3.2375000000000007
Steve Smith Sr ,BAL,WR,218.3,148.1,11.45,183.2,9,-0.9625000000000004,3.078125
Nelson Agholor,PHI,WR,172.9,192.8,11.428125,182.85,8,-0.984375,3.0562500000000004
Brandon LaFell ,NE,WR,165.4,188.2,11.05,176.8,4,-1.362499999999999,2.6781250000000014
Percy Harvin,BUF,WR,192.4,158.0,10.95,175.2,8,-1.4625000000000004,2.578125
Michael Crabtree,OAK,WR,197.8,150.8,10.89375,174.3,6,-1.518749999999999,2.5218750000000014
Rueben Randle,NYG,WR,199.4,148.5,10.871875,173.95,11,-1.5406250000000004,2.5
John Brown,ARI,WR,195.2,152.3,10.859375,173.75,9,-1.5531249999999996,2.4875000000000007
Pierre Garcon,WAS,WR,200.0,146.4,10.825,173.2,8,-1.5875000000000004,2.453125
Davante Adams,GB,WR,166.3,176.8,10.721875,171.55,7,-1.690624999999999,2.3500000000000014
Michael Floyd,ARI,WR,166.7,170.3,10.53125,168.5,9,-1.8812499999999996,2.1593750000000007
Kenny Stills,MIA,WR,182.6,152.7,10.478125,167.65,5,-1.9343749999999993,2.106250000000001
Charles Johnson,MIN,WR,161.3,172.9,10.44375,167.1,5,-1.96875,2.0718750000000004
Kevin White ,CHI,WR,129.2,178.9,9.628125,154.05,7,-2.784374999999999,1.2562500000000014
Doug Baldwin,SEA,WR,158.5,143.8,9.446875,151.15,9,-2.9656249999999993,1.075000000000001
Breshad Perriman,BAL,WR,122.4,176.6,9.34375,149.5,9,-3.0687499999999996,0.9718750000000007
Terrance Williams,DAL,WR,159.5,133.2,9.146875,146.35,6,-3.265625,0.7750000000000004
Dwayne Bowe,CLE,WR,154.9,134.0,9.028125,144.45,11,-3.3843750000000004,0.65625
Malcom Floyd,SD,WR,141.5,140.5,8.8125,141.0,10,-3.5999999999999996,0.4406250000000007
Stevie Johnson,SD,WR,148.0,133.1,8.784375,140.55,10,-3.628124999999999,0.4125000000000014
Brian Quick,STL,WR,129.8,144.7,8.578125,137.25,6,-3.8343749999999996,0.2062500000000007
Devin Funchess,CAR,WR,132.9,138.3,8.475,135.6,5,-3.9375,0.10312500000000036
Kenny Britt,STL,WR,137.7,130.7,8.3875,134.2,6,-4.025,0.015625
Cody Latimer,DEN,WR,106.9,161.0,8.371875,133.95,7,-4.040625,0.0
Victor Cruz,NYG,WR,105.4,157.4,8.2125,131.4,11,-4.199999999999999,-0.15937499999999893
Greg Jennings,MIA,WR,153.1,104.0,8.034375,128.55,5,-4.378124999999999,-0.3374999999999986
Dorial Green Beckham,TEN,WR,118.5,136.9,7.98125,127.7,4,-4.4312499999999995,-0.3906249999999991
DeVante Parker ,MIA,WR,86.2,164.4,7.83125,125.3,5,-4.58125,-0.5406249999999995
Donte Moncrief,IND,WR,121.4,125.9,7.728125,123.65,10,-4.684374999999999,-0.6437499999999989
Andrew Hawkins,CLE,WR,110.8,131.1,7.559375,120.95,11,-4.8531249999999995,-0.8124999999999991
Cecil Shorts III,HOU,WR,135.0,104.2,7.475,119.6,9,-4.9375,-0.8968749999999996
