Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Le Veon Bell,RB,RB,328.30000000000001,273.80000000000001,19.383333333300001,310.133333333,11,9.4583333333000006,14.874999999970001
Antonio Brown,WR,WR,364.39999999999998,324.39999999999998,21.941666666700002,351.06666666699999,11,9.4312500000000021,13.075000000030002
Rob Gronkowski,TE,TE,300.60000000000002,256.89999999999998,17.8770833333,286.03333333299997,4,9.1416666666299999,10.39374999997
Odell Beckham Jr ,WR,WR,351.30000000000001,292.60000000000002,20.733333333299999,331.73333333300002,11,8.2229166665999998,11.86666666663
Eddie Lacy,RB,RB,291.80000000000001,278.69999999999999,17.964583333299998,287.43333333300001,7,8.0395833332999977,13.456249999969998
Randall Cobb,WR,WR,356.10000000000002,268.39999999999998,20.429166666699999,326.866666667,7,7.9187499999999993,11.562500000029999
Jamaal Charles,RB,RB,289.30000000000001,274.80000000000001,17.7791666667,284.46666666700003,9,7.8541666666999994,13.27083333337
Demaryius Thomas,WR,WR,338.89999999999998,298.19999999999999,20.333333333300001,325.33333333299998,7,7.8229166666000012,11.466666666630001
Adrian Peterson,RB,RB,291.0,268.80000000000001,17.725000000000001,283.60000000000002,5,7.8000000000000007,13.216666666670001
Julio Jones,WR,WR,337.89999999999998,292.69999999999999,20.177083333300001,322.83333333299998,10,7.6666666666000012,11.310416666630001
Dez Bryant,WR,WR,340.10000000000002,284.69999999999999,20.102083333300001,321.633333333,6,7.5916666666000019,11.235416666630002
C J Anderson,RB,RB,281.80000000000001,266.10000000000002,17.285416666700002,276.56666666699999,7,7.3604166667000008,12.777083333370001
Calvin Johnson,WR,WR,319.69999999999999,275.30000000000001,19.056249999999999,304.89999999999998,9,6.5458333332999992,10.189583333329999
Andrew Luck,QB,QB,430.30000000000001,398.89999999999998,26.239583333300001,419.83333333299998,10,6.3520833333000013,9.7104166666000005
Marshawn Lynch,RB,RB,264.19999999999999,250.59999999999999,16.229166666699999,259.66666666700002,9,6.3041666666999987,11.720833333369999
Matt Forte,RB,RB,255.80000000000001,266.69999999999999,16.214583333299998,259.43333333300001,7,6.2895833332999977,11.706249999969998
Justin Forsett,RB,RB,252.40000000000001,234.5,15.4020833333,246.43333333300001,9,5.4770833332999995,10.89374999997
LeSean McCoy,RB,RB,248.09999999999999,242.30000000000001,15.385416666699999,246.16666666699999,8,5.4604166666999987,10.877083333369999
A J Green,WR,WR,293.60000000000002,272.5,17.910416666700002,286.56666666699999,7,5.4000000000000021,9.043750000030002
